,chembl_id,IC50,unit,Smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,ro5_fulfilled
445,CHEMBL2071277,15,nM,NC(=O)[C@@H]1[C@H](Nc2nc(Nc3cnn(C[C@H]4CCCN4)c3)ncc2Cl)[C@H]2C=C[C@@H]1C2,7.823908741,428.1839851,8,4,1.91,TRUE
446,CHEMBL4228587,15,nM,CC(=O)Nc1ccc(Sc2nc(Nc3cc(C)[nH]n3)cc(N3CCN(C)CC3)n2)cc1,7.823908741,438.1950285,8,3,3.11312,TRUE
447,CHEMBL3986609,15,nM,O=C(O)/C=C\C(=O)Nc1cccc(-c2n[nH]c3ccc(NS(=O)(=O)c4ccccc4)cc23)c1,7.823908741,462.0997907,5,4,3.61,TRUE
448,CHEMBL3329660,15,nM,O=C(NC(=O)c1ccc(Cl)c(C(F)(F)F)c1)Nc1ccc2c(c1)NC(=O)/C2=C\c1ccc[nH]1,7.823908741,474.0706526,3,4,5.1415,TRUE
449,CHEMBL3353348,15,nM,COc1ccc2c(c1)[C@]1(C[C@H]1c1ccc3c(/C=C/c4ccc(CN(C)C)cc4)n[nH]c3c1)C(=O)N2,7.823908741,464.2212261,4,2,5.1809,TRUE
450,CHEMBL496569,15,nM,O=C(Nc1c[nH]nc1-c1nc2cc(CN3CCOCC3)ccc2[nH]1)c1ccccc1,7.823908741,402.1804239,5,3,3.0375,TRUE
451,CHEMBL4785614,15.08,nM,Cn1cc(-c2ccc3c(Nc4cccc(NC(=O)Nc5ccc(F)cc5)c4)ncnc3c2)cn1,7.821598658,453.1713365,6,3,5.557,TRUE
452,CHEMBL3956504,15.21,nM,CC1(C)CN(c2ccc(-c3oc(-c4cccc5[nH]ccc45)nc3C(N)=O)cc2)CCN1,7.817870786,415.200825,5,3,3.777,TRUE
453,CHEMBL3747305,16,nM,COc1ccc(-c2nc3c(NCC4CCNCC4)c(Cl)cnc3[nH]2)cc1OC,7.795880017,401.1618527,6,3,3.707,TRUE
454,CHEMBL2011935,16,nM,COc1ccc(-c2nc3c(NCCCNC(=O)C4CC(O)C4)c(Br)cnc3[nH]2)cc1,7.795880017,473.1062517,6,4,3.0851,TRUE
455,CHEMBL410840,16,nM,COc1cc2nccc(Oc3ccc4c(C(=O)NCC(F)(F)F)cccc4c3)c2cc1OC,7.795880017,456.1296917,5,1,5.4896,TRUE
456,CHEMBL3909068,16,nM,C=CC(=O)N1CCN(S(=O)(=O)c2ccc(Nc3ncc4c(n3)N(C)c3ccc(C)cc3C(=O)N4C)cc2)CC1,7.795880017,547.2001734,8,1,2.90542,TRUE
457,CHEMBL3680521,16,nM,NC(=O)c1cccc2c(N[C@H](CN3CCCC3)c3ccccc3)ncnc12,7.795880017,361.1902604,5,2,2.9777,TRUE
458,CHEMBL3685264,16,nM,NC(=O)c1cccc2c(NCc3cccc(NC(=O)c4ccccc4OCCO)c3)ncnc12,7.795880017,457.1750042,7,4,2.9642,TRUE
459,CHEMBL3639794,16,nM,COc1ccc2nc(Nc3cccc(CNc4ncnc5c(C(N)=O)cccc45)c3)sc2c1,7.795880017,456.1368449,8,3,4.7027,TRUE
460,CHEMBL1967116,16,nM,Cc1cccc(NC(=O)Nc2ccc(-c3csc4c(-c5cnn(C)c5)cnc(N)c34)cc2)c1,7.795880017,454.1575803,6,3,5.89842,TRUE
461,CHEMBL1095817,16,nM,O=C(Nc1ccccc1)Nc1ccc(-c2nn(CC(F)(F)F)cc2-c2ccnc3[nH]ccc23)cc1,7.795880017,476.1572439,4,3,6.2997,TRUE
462,CHEMBL2071209,16,nM,Cn1cc(Nc2ncc(C(F)(F)F)c(Nc3ccccc3C(N)=O)n2)cn1,7.795880017,377.1211927,7,3,2.815,TRUE
463,CHEMBL3685218,16,nM,CC(N)c1cccc(NC(=O)c2ccoc2CN2CCOCC2)c1,7.795880017,329.1739416,5,2,2.3838,TRUE
464,CHEMBL1822647,16,nM,Cc1cc(Nc2nc(Sc3ccc(NC(=O)CN4C[C@H](OC(C)(C)C)[C@@H](O)C4)cc3)nn3cccc23)n[nH]1,7.795880017,536.2318079,10,4,3.45432,TRUE
465,CHEMBL3393471,16,nM,O=C1CCCC2=C1C(c1ccc(Sc3nc4ccccc4[nH]3)o1)c1c[nH]c(C(=O)O)c1N2,7.795880017,446.1048761,6,4,4.8979,TRUE
466,CHEMBL3329681,16.4,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(CCC(=O)N3CCOCC3)c2C)c(F)c1,7.785156152,589.233662,6,4,4.02524,TRUE
467,CHEMBL3329680,16.8,nM,COc1ccc(C(=O)NC(=O)Nc2ccc3c(c2)NC(=O)/C3=C\c2[nH]c(C)c(C(=O)N3CCOCC3)c2C)c(F)c1,7.774690718,561.2023618,6,4,3.70624,TRUE
468,CHEMBL2063467,17,nM,Nc1ncnn2ccc(C(=O)Nc3ccc(NC(=O)Nc4ccsc4)cc3)c12,7.769551079,393.1007937,7,4,3.2693,TRUE
