"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","significance"
"MAP3K8",2.78870638358081e-10,0.822889135830502,0.152,0.117,5.0818596427993e-06,"MAP3K8","Upregulated"
"PPP3CC",2.80815969036911e-10,-0.705203459959566,0.036,0.057,5.11730940375964e-06,"PPP3CC","Downregulated"
"AL132657.1",2.80939498027357e-10,-1.50022934366506,0.006,0.016,5.11956047255252e-06,"AL132657.1","Downregulated"
"LYZ",2.81615195580571e-10,-0.549083332058052,0.124,0.09,5.13187370906475e-06,"LYZ","Downregulated"
"PCYT1A",2.83935429205977e-10,-0.467930796819771,0.025,0.044,5.17415532642053e-06,"PCYT1A","Downregulated"
"GSPT2",2.85413555364161e-10,-1.23109373976548,0.006,0.017,5.2010912194011e-06,"GSPT2","Downregulated"
"Z93930.2",2.87114758990006e-10,-0.733856103362815,0.01,0.023,5.23209225307488e-06,"Z93930.2","Downregulated"
"HSPB11",2.96688315991951e-10,-0.106993329532003,0.131,0.169,5.40655118232132e-06,"HSPB11","Not Significant"
"RRN3",2.99865896261289e-10,-0.547805842181213,0.03,0.05,5.46445622756947e-06,"RRN3","Downregulated"
"SAE1",3.00171606170933e-10,-0.361055373361529,0.051,0.076,5.47002717925291e-06,"SAE1","Downregulated"
"LRPPRC",3.01149851347189e-10,-0.647302751877704,0.02,0.037,5.48785374109983e-06,"LRPPRC","Downregulated"
"CSTF2T",3.03094176709094e-10,-0.241356539102395,0.034,0.055,5.52328518216982e-06,"CSTF2T","Not Significant"
"TMEM38B",3.06909787708569e-10,-0.746765079053363,0.023,0.04,5.59281706141325e-06,"TMEM38B","Downregulated"
"TMEM222",3.10906946143065e-10,-0.503172698749034,0.032,0.053,5.66565727956507e-06,"TMEM222","Downregulated"
"RAD23A",3.16039240046987e-10,-0.101100434678657,0.173,0.213,5.75918307137625e-06,"RAD23A","Not Significant"
"MFSD1",3.19755229264221e-10,0.117324776350309,0.065,0.093,5.82689954288189e-06,"MFSD1","Not Significant"
"TMEM106A",3.23192760403413e-10,-0.671438609544048,0.013,0.028,5.88954167283139e-06,"TMEM106A","Downregulated"
"JUND",3.28595696814566e-10,0.692967138258033,0.311,0.275,5.98799938305183e-06,"JUND","Upregulated"
"RASSF7",3.35389412131556e-10,-0.635675557666787,0.038,0.06,6.11180125727334e-06,"RASSF7","Downregulated"
"AP006623.1",3.44270698685007e-10,-1.0519470374774,0.011,0.025,6.27364494213688e-06,"AP006623.1","Downregulated"
"UBL4A",3.53758814521877e-10,-0.89508343106824,0.019,0.036,6.44654687703217e-06,"UBL4A","Downregulated"
